target,split,fold,method,n,mae,r2,spearman,source
279,butina,2,pub_knn,,0.8001253035804925,0.3308145720993208,0.5568433707173024,published
279,butina,2,pub_mlp,,0.8569032549858093,0.1634318232536316,0.3999347035379071,published
279,butina,2,pub_rf,,0.7790677331165025,0.3941468349474635,0.6030518572884718,published
279,butina,2,pub_svm,,0.7730664813815925,0.3888733124324238,0.5566879161292997,published
279,butina,2,pub_xgboost,,0.7771363792919921,0.3917939104477279,0.5874983828992553,published
279,butina,3,chemeleon,455.0,0.7993231656217896,-0.21564366786061973,0.2900459889593689,fitted
279,butina,3,knn,455.0,0.7881880438229435,-0.032323977349665745,0.3572624340978161,fitted
279,butina,3,lgbm,455.0,0.7955354959565236,-0.07022073914344262,0.25539286369959013,fitted
279,butina,3,median,455.0,0.8003249816841956,-0.016702872483943754,,fitted
279,butina,3,monroe35,455.0,0.7679584310378127,0.009054812274480684,0.37465763574074795,fitted
279,butina,3,pub_gnn,,0.9511202573776244,-0.6618591547012329,0.3265273077846419,published
279,butina,3,pub_knn,,0.7881880446507249,-0.0323239788456193,0.3572624340978161,published
279,butina,3,pub_mlp,,0.8215948939323425,-0.1462901830673217,0.2791333913058602,published
279,butina,3,pub_rf,,0.7608763472102332,0.0628607292786995,0.264976022382142,published
279,butina,3,pub_svm,,0.7535758870913921,0.0544482361056007,0.3332883307952931,published
279,butina,3,pub_xgboost,,0.7824376258285288,-0.0159870314351981,0.2990643573696227,published
279,butina,4,chemeleon,454.0,0.7164156405344493,0.058774178842823654,0.4775753392919099,fitted
279,butina,4,knn,454.0,0.7336482066187635,0.10844583923698448,0.40992198608605246,fitted
279,butina,4,lgbm,454.0,0.7266352517183915,0.05264850940562227,0.36471446169205146,fitted
279,butina,4,median,454.0,0.8113824734755696,-0.010268673514108873,,fitted
279,butina,4,monroe35,454.0,0.649390579759122,0.2683769830792495,0.491413420123302,fitted
279,butina,4,pub_gnn,,0.849574625492096,-0.2755091190338135,0.2492039489222761,published
279,butina,4,pub_knn,,0.7336482079063538,0.1084458356393553,0.4099219860860524,published
279,butina,4,pub_mlp,,0.7002710700035095,0.1505885124206543,0.4648695554250545,published
279,butina,4,pub_rf,,0.6607129064071018,0.2829938032652036,0.5022963334762651,published
279,butina,4,pub_svm,,0.6609732593234922,0.2290253608990793,0.4688750102515282,published
279,butina,4,pub_xgboost,,0.7374819064730991,0.0750163349677962,0.4099271330237125,published
279,butina,5,chemeleon,454.0,0.7378509362849548,0.2945139946316693,0.5485679881462137,fitted
279,butina,5,knn,454.0,0.8434955204138608,0.06772362186501701,0.4315186875954013,fitted
279,butina,5,lgbm,454.0,0.7920711894223884,0.2280348286737045,0.49510457886317477,fitted
279,butina,5,median,454.0,0.9523513760363326,-0.0343225617099614,,fitted
279,butina,5,monroe35,454.0,0.7574930422396751,0.3136625112956607,0.5555426212253441,fitted
